,EDUCATION,MARRIAGE,AGE,BILL_AMT1
223,2,2,33,91653.0
224,3,2,37,52626.0
225,1,2,28,130370.0
226,3,1,44,3265.0
227,2,1,37,16455.0
228,2,2,23,49758.0
229,3,2,24,19154.0
230,1,2,24,35084.0
231,2,2,23,20235.0
232,2,1,26,102800.0
233,2,2,34,129801.0
234,2,1,33,58203.0
235,1,2,35,7988.0
236,2,2,27,127402.0
237,1,2,31,1440.0
238,3,1,50,234205.0
239,2,3,41,19346.0
240,1,2,28,21501.0
241,1,2,39,47174.0
242,2,2,27,26655.0
243,1,2,32,3139.0
244,1,2,40,142.0
245,2,2,40,19816.0
246,2,1,75,52874.0
247,2,2,27,37767.0
248,1,2,25,46140.0
249,3,1,46,35713.0
250,2,2,26,50867.0
251,2,2,28,29242.0
252,2,2,26,101551.0
253,1,2,28,70243.0
254,2,2,29,19532.0
255,2,1,25,27699.0
256,2,1,48,1154.0
257,2,1,33,8015.0
258,3,1,43,62170.0
259,1,1,48,210380.0
260,1,2,29,78331.0
261,2,2,29,49276.0
262,1,1,38,4473.0
263,1,2,37,2283.0
264,1,2,37,10115.0
265,2,1,25,6156.0
266,3,2,23,6974.0
267,3,2,49,89003.0
268,1,2,48,34871.0
269,2,2,27,13694.0
270,3,2,32,70003.0
271,1,1,34,1082.0
272,1,2,58,0.0
273,2,2,33,11253.0
274,2,2,28,0.0
275,2,2,36,68699.0
276,1,1,40,171.0
277,1,2,26,1156.0
278,3,1,33,50859.0
279,2,1,31,103109.0
280,1,2,27,1512.0
281,2,1,44,127543.0
282,3,2,30,163935.0
283,1,2,28,53494.0
284,3,1,32,195126.0
285,1,1,46,110346.0
286,1,2,38,60502.0
287,2,1,46,180641.0
288,2,2,25,70896.0
289,2,1,46,8751.0
290,1,2,33,898.0
291,2,2,22,0.0
292,2,1,43,1700.0
293,2,2,27,7015.0
294,1,2,29,0.0
295,1,2,31,194353.0
296,2,1,29,1686.0
297,2,1,36,143225.0
298,1,1,36,58983.0
299,1,2,34,0.0
300,2,2,37,99209.0
301,1,2,36,0.0
302,3,1,40,49941.0
303,1,2,25,11968.0
304,1,2,27,871.0
305,2,2,26,432.0
306,2,1,36,10483.0
307,2,1,27,0.0
308,3,1,55,9720.0
309,1,2,27,20847.0
310,2,1,38,3697.0
311,2,1,34,143301.0
312,1,2,40,10934.0
313,3,1,49,52439.0
314,1,2,27,55734.0
315,2,2,23,49507.0
316,2,2,36,47819.0
317,3,1,53,0.0
318,3,1,46,48522.0
319,2,2,29,-2.0
320,2,2,29,58362.0
321,1,2,27,172180.0
322,2,2,24,1399.0
323,2,1,28,26361.0
324,2,2,32,93029.0
325,2,2,43,0.0
326,2,1,41,650.0
327,2,1,34,24898.0
328,2,1,55,50396.0
329,1,1,40,99855.0
330,2,1,37,-179.0
331,2,2,40,9559.0
332,1,2,28,10540.0
333,2,1,43,0.0
334,1,2,27,20571.0
335,1,2,28,143464.0
336,1,2,30,156882.0
337,2,2,31,390.0
338,2,1,31,46512.0
339,1,2,34,882.0
340,2,2,30,92.0
341,2,2,36,5916.0
342,1,2,29,2393.0
343,1,1,39,274731.0
344,1,2,26,145403.0
345,1,2,29,3097.0
346,2,2,26,1370.0
347,2,2,29,47081.0
348,2,2,31,138119.0
349,2,2,26,17893.0
350,1,2,26,39128.0
351,1,1,36,-14386.0
352,1,2,30,0.0
353,2,2,43,77057.0
354,3,1,58,15899.0
355,2,1,45,27679.0
356,2,2,26,141315.0
357,2,2,34,194314.0
358,4,2,24,83755.0
359,1,1,34,49657.0
360,2,2,23,507726.0
361,2,2,30,71305.0
362,2,2,32,45734.0
363,1,1,40,0.0
364,1,2,35,761.0
365,2,1,56,-9.0
366,2,1,61,47166.0
367,2,2,24,2887.0
368,1,1,40,0.0
369,2,1,32,20631.0
370,2,1,36,83538.0
371,1,2,30,99.0
372,1,2,34,34302.0
373,3,3,54,22987.0
374,1,1,46,173267.0
375,3,1,58,19143.0
376,2,1,43,20518.0
377,1,2,28,10833.0
378,1,2,30,69937.0
379,2,2,31,20526.0
380,2,2,29,89055.0
381,2,1,37,1894.0
382,3,1,36,100594.0
383,2,2,28,2948.0
384,2,2,25,22619.0
385,5,1,42,338106.0
386,1,2,29,0.0
387,3,1,73,63144.0
388,2,1,43,153249.0
389,1,1,30,1131.0
390,1,1,38,0.0
391,2,1,39,-1312.0
392,2,1,44,103797.0
393,2,2,29,20110.0
394,1,1,51,38000.0
395,1,2,27,142428.0
396,1,2,38,40810.0
397,2,2,22,0.0
398,2,1,30,104701.0
399,2,2,25,120298.0
400,1,2,29,156362.0
401,3,3,42,41322.0
402,1,2,41,1464.0
403,2,1,48,27879.0
404,1,2,29,160432.0
405,1,1,52,3858.0
406,2,1,25,26476.0
407,1,1,37,507062.0
408,1,2,27,55607.0
409,1,2,31,168382.0
410,1,2,23,29332.0
411,1,1,38,190.0
412,1,1,32,0.0
413,2,2,27,13668.0
414,3,1,41,14867.0
415,3,1,35,22500.0
416,1,2,31,7184.0
417,1,2,30,14811.0
418,2,1,48,44338.0
419,1,2,36,0.0
420,1,2,24,25265.0
421,1,2,29,169661.0
422,2,2,38,10237.0
423,2,1,38,104978.0
424,2,1,30,192586.0
425,2,1,32,11262.0
426,3,2,49,9551.0
427,1,2,31,199.0
428,1,2,27,70119.0
429,2,2,33,212601.0
430,2,2,25,91894.0
431,1,2,27,304867.0
432,1,2,29,48123.0
433,1,1,36,159760.0
434,3,1,55,9210.0
435,2,1,32,234752.0
436,1,2,27,14072.0
437,3,1,37,61807.0
438,1,1,25,51044.0
439,1,2,23,77024.0
440,2,2,23,350.0
441,1,2,32,83831.0
442,1,2,26,0.0
443,1,2,27,122923.0
444,1,2,44,246135.0
445,2,2,34,37304.0
446,1,2,28,146433.0
447,1,1,53,46122.0
448,4,1,42,38564.0
449,3,1,30,96304.0
450,1,1,51,0.0
451,1,1,53,467150.0
452,2,2,37,255691.0
453,1,2,26,156786.0
454,2,2,42,78129.0
455,2,2,39,40034.0
456,3,2,39,71034.0
457,1,2,32,23974.0
458,2,1,41,819.0
459,2,1,48,50927.0
460,2,1,38,152510.0
461,2,1,36,1689.0
462,2,2,26,20807.0
463,1,2,28,30141.0
464,3,3,56,0.0
465,1,1,59,208459.0
466,1,2,38,212795.0
467,2,2,32,28114.0
468,2,1,38,59372.0
469,1,1,41,6160.0
470,3,2,35,355215.0
471,2,2,41,366193.0
472,2,1,34,2927.0
473,3,1,38,29295.0
474,2,1,32,4158.0
475,2,2,29,27199.0
476,1,2,44,50893.0
477,2,1,37,66759.0
478,1,1,38,600.0
479,1,2,31,0.0
480,2,1,40,44930.0
481,2,2,26,131367.0
482,2,2,28,41264.0
483,3,1,48,77604.0
484,2,1,43,2491.0
485,2,1,31,177554.0
486,1,1,42,6865.0
487,2,1,39,93768.0
488,2,1,36,396.0
489,1,1,34,16426.0
490,2,2,32,573.0
491,2,1,43,28703.0
492,2,2,30,98560.0
493,2,2,28,28304.0
494,1,1,28,8574.0
495,1,1,41,508.0
496,3,2,47,203183.0
497,2,2,23,16440.0
498,1,1,49,66.0
499,1,1,38,15912.0
500,2,1,38,20344.0
501,2,1,35,23132.0
502,6,2,46,221590.0
503,1,1,33,19161.0
504,6,1,53,0.0
505,1,2,35,396.0
506,2,2,43,3959.0
507,2,2,28,42238.0
508,2,1,30,21507.0
509,1,2,26,884.0
510,2,1,31,1261.0
511,2,2,35,240.0
512,1,2,28,20223.0
513,2,2,23,29509.0
514,2,2,23,18355.0
515,3,1,56,94265.0
516,3,1,32,68739.0
517,2,1,47,13917.0
518,2,2,22,10250.0
519,1,1,34,93844.0
520,1,1,31,16496.0
521,2,2,27,-58.0
522,1,2,28,1210.0
523,2,1,42,111496.0
524,1,2,32,67374.0
525,2,2,27,1692.0
526,2,2,27,18649.0
527,2,1,45,160837.0
528,1,2,26,-8.0
529,2,2,21,18763.0
530,2,2,23,34549.0
531,2,3,30,97538.0
532,2,2,46,4073.0
533,3,1,50,53849.0
534,1,2,26,2411.0
535,2,2,25,480.0
536,1,2,35,330759.0
537,2,1,44,92007.0
538,1,2,52,3257.0
539,2,1,40,92638.0
540,1,2,38,399.0
541,1,2,28,0.0
542,2,1,36,28778.0
543,1,2,24,30092.0
544,1,1,34,12339.0
545,1,2,31,50620.0
546,1,1,41,-65.0
547,2,2,25,0.0
548,1,2,28,2403.0
549,1,2,27,52437.0
550,3,1,52,4657.0
551,1,2,41,28204.0
552,1,1,56,50715.0
553,1,1,42,0.0
554,2,2,24,35285.0
555,2,1,47,37850.0
556,1,1,33,5233.0
557,2,2,32,65299.0
558,2,2,29,17208.0
559,3,1,53,57192.0
560,1,2,34,5780.0
561,2,2,52,640.0
562,2,1,42,631.0
563,2,2,38,108351.0
564,1,2,45,834.0
565,3,2,35,7244.0
566,1,2,24,13141.0
567,1,2,28,7071.0
568,3,2,26,35429.0
569,1,1,40,18751.0
570,1,2,29,55788.0
571,2,2,23,49809.0
572,1,2,33,10900.0
573,2,2,60,3128.0
574,3,1,49,3367.0
575,1,1,53,279610.0
576,1,2,28,475.0
577,1,2,31,5994.0
578,2,2,36,5197.0
579,2,1,35,7797.0
580,2,2,28,0.0
581,2,2,33,35785.0
582,1,2,26,1433.0
583,3,2,53,77766.0
584,2,2,42,50300.0
585,1,2,25,14603.0
586,1,1,43,0.0
587,3,2,25,8817.0
588,2,2,29,131575.0
589,2,1,31,5841.0
590,1,1,30,30341.0
591,1,2,34,83255.0
592,1,1,35,34976.0
593,2,1,32,48747.0
594,3,2,46,56700.0
595,1,1,43,144678.0
596,2,2,29,268112.0
597,3,2,31,0.0
598,2,2,24,79243.0
599,2,1,36,-475.0
600,2,1,43,23396.0
601,3,1,59,390.0
602,1,1,53,17862.0
603,2,2,28,26450.0
604,2,2,31,0.0
605,1,2,34,22746.0
606,2,1,36,9214.0
607,1,2,24,40882.0
608,3,1,36,3996.0
609,2,1,34,390.0
610,1,2,43,44177.0
611,1,2,29,3280.0
612,2,1,37,48226.0
613,2,2,23,36650.0
614,2,1,37,115049.0
615,1,2,33,21724.0
616,1,1,37,0.0
617,2,1,56,137807.0
618,1,2,25,58839.0
619,2,1,39,80833.0
620,2,1,39,36146.0
621,2,2,28,340.0
622,1,2,27,7624.0
623,2,1,37,0.0
624,1,2,24,491.0
625,2,2,24,13168.0
626,1,1,46,60040.0
627,1,1,39,660.0
628,3,1,48,29434.0
629,3,3,45,4430.0
630,3,2,49,1440.0
631,2,2,23,26795.0
632,3,1,25,16591.0
633,2,1,47,0.0
634,3,1,56,46486.0
635,3,1,44,550.0
636,3,1,49,5630.0
637,2,1,41,21986.0
638,1,2,40,60125.0
639,2,2,31,56364.0
640,2,1,42,148363.0
641,3,1,28,100143.0
642,2,2,32,46255.0
643,2,2,28,276436.0
644,2,1,31,29493.0
645,3,2,39,214450.0
646,3,1,31,35369.0
647,2,2,24,77615.0
648,2,1,44,186149.0
649,2,2,46,21075.0
650,1,2,32,0.0
651,2,2,26,14348.0
652,1,2,22,20137.0
653,1,1,42,-200.0
654,2,2,33,8177.0
655,2,1,39,2082.0
656,3,2,27,13820.0
657,1,2,28,46923.0
658,1,2,23,53261.0
659,2,2,28,427.0
660,1,1,33,14150.0
661,2,1,40,42856.0
662,1,2,37,1034.0
663,1,2,22,5137.0
664,2,1,32,24114.0
665,3,1,43,130067.0
666,3,1,27,61611.0
667,2,1,35,25078.0
668,3,1,35,97002.0
669,1,1,30,5766.0
670,2,2,34,99568.0
671,2,1,34,12857.0
672,1,2,28,96193.0
673,2,2,25,2400.0
674,1,1,41,97797.0
675,3,2,42,64762.0
676,2,2,40,145613.0
677,1,2,28,71989.0
678,2,2,31,3345.0
679,1,2,56,29033.0
680,2,3,45,26650.0
681,1,2,29,0.0
682,1,1,35,4259.0
683,2,2,28,106468.0
684,1,1,40,247276.0
685,1,1,47,1548.0
686,3,1,41,780.0
687,2,2,27,162671.0
688,1,1,40,123049.0
689,2,2,32,51372.0
690,2,2,35,60015.0
691,2,2,27,1170.0
692,2,1,29,159398.0
693,1,2,30,55664.0
694,2,1,37,43528.0
695,1,2,29,0.0
696,1,1,34,27966.0
697,2,2,34,8792.0
698,1,1,41,28026.0
699,1,2,31,43610.0
700,2,2,40,0.0
701,1,1,27,5780.0
702,3,2,22,8109.0
703,2,3,30,52515.0
704,2,3,22,22582.0
705,1,2,26,15448.0
706,2,1,38,58102.0
707,3,1,46,12289.0
708,2,2,24,10476.0
709,2,2,49,16326.0
710,1,3,49,17681.0
711,2,1,42,47912.0
712,1,1,30,18886.0
713,2,1,42,0.0
714,1,2,31,203.0
715,2,1,49,34962.0
716,2,2,27,80964.0
717,2,1,33,69418.0
718,1,1,35,0.0
719,2,2,48,45174.0
720,2,2,22,23892.0
721,2,2,22,7960.0
722,1,2,27,0.0
723,1,1,47,9192.0
724,2,2,34,25935.0
725,2,1,45,7139.0
726,2,2,39,12865.0
727,2,2,33,-14.0
728,2,2,29,49549.0
729,1,2,29,546.0
730,3,2,26,9935.0
731,2,1,38,152856.0
732,1,2,34,1278.0
733,1,1,37,316.0
734,2,1,57,46132.0
735,3,1,50,27345.0
736,3,2,28,101593.0
737,1,2,31,142764.0
738,1,2,25,92849.0
739,2,2,25,17330.0
740,2,1,33,109863.0
741,1,2,30,1064.0
742,1,1,51,56764.0
743,1,2,51,43048.0
744,2,1,46,29484.0
745,3,2,38,21310.0
746,2,1,34,10821.0
747,3,1,34,280823.0
748,1,2,31,390.0
749,2,2,25,37647.0
750,2,1,26,0.0
751,1,2,25,84710.0
752,2,2,26,48036.0
753,2,2,43,43346.0
754,2,1,36,873.0
755,2,2,58,110163.0
756,2,2,26,4113.0
757,2,1,30,9636.0
758,2,2,31,25103.0
759,2,2,24,31319.0
760,2,2,52,43343.0
761,2,2,24,197.0
762,2,1,35,7967.0
763,3,2,29,19450.0
764,2,1,33,240878.0
765,1,2,35,2115.0
766,2,1,35,81665.0
767,1,2,28,11442.0
768,2,1,40,158.0
769,1,1,35,2257.0
770,2,2,53,10733.0
771,1,2,44,316.0
772,2,1,33,11026.0
773,2,1,32,113869.0
774,1,2,33,7363.0
775,1,2,26,29649.0
776,1,2,26,12716.0
777,2,2,26,1438.0
778,1,1,32,47858.0
779,2,2,31,0.0
780,1,2,29,40732.0
781,2,1,27,819.0
782,1,2,28,79580.0
783,1,1,42,0.0
784,2,1,32,87764.0
785,1,2,26,31421.0
786,1,2,38,929.0
787,1,1,35,2648.0
788,2,2,29,11894.0
789,2,2,29,55064.0
790,2,2,51,25382.0
791,1,2,27,-54.0
792,1,2,32,5335.0
793,3,1,40,-288.0
794,1,1,34,46750.0
795,2,1,30,97062.0
796,1,2,29,0.0
797,1,2,22,13801.0
798,1,2,48,15355.0
799,2,1,35,37148.0
800,1,2,37,385.0
801,2,2,25,20610.0
802,3,1,44,2000.0
803,1,2,28,6666.0
804,2,2,29,31037.0
805,1,1,36,25239.0
806,2,2,23,998.0
807,3,2,36,16754.0
808,1,2,26,31061.0
809,2,0,37,2694.0
810,1,3,44,70096.0
811,1,1,39,99259.0
812,1,2,24,0.0
813,3,1,29,24921.0
814,3,1,33,66055.0
815,2,1,39,213738.0
816,3,1,51,54968.0
817,3,2,24,4101.0
818,2,1,45,2605.0
819,1,2,30,15380.0
820,3,0,51,780.0
821,2,2,24,48861.0
822,2,1,50,55336.0
823,1,2,22,20243.0
824,1,2,27,11058.0
825,2,2,33,0.0
826,2,1,24,27087.0
827,2,2,37,8755.0
828,2,1,58,3035.0
829,2,1,48,20944.0
830,1,2,28,2007.0
831,3,1,24,24310.0
832,2,1,27,152478.0
833,3,2,30,550.0
834,1,2,23,17246.0
835,3,2,53,1598.0
836,2,2,23,22895.0
837,2,1,55,15069.0
838,2,1,34,88948.0
839,1,1,43,0.0
840,2,2,22,79318.0
841,2,1,31,67648.0
842,2,1,32,0.0
843,2,2,33,0.0
844,3,1,39,315201.0
845,1,1,38,4290.0
846,2,1,34,205064.0
847,2,3,42,47647.0
848,3,1,37,151117.0
849,3,1,57,726.0
850,2,2,23,20035.0
851,2,2,32,29095.0
852,1,1,37,30400.0
853,2,2,23,44733.0
854,3,2,49,4987.0
855,2,2,25,26957.0
856,1,2,29,26461.0
857,3,1,43,50485.0
858,2,2,29,131041.0
859,2,2,27,20218.0
860,1,2,26,0.0
861,1,1,41,1086.0
862,3,2,52,2450.0
863,2,1,31,15915.0
864,1,2,32,43515.0
865,2,1,46,28234.0
866,2,2,35,119333.0
867,1,2,35,29109.0
868,2,1,39,105192.0
869,2,2,34,310403.0
870,2,3,52,14591.0
871,3,1,40,35660.0
872,3,1,38,13655.0
873,1,1,45,4453.0
874,3,1,40,2946.0
875,2,1,25,30606.0
876,1,2,33,45335.0
877,2,2,27,5924.0
878,2,1,43,23587.0
879,2,1,43,15294.0
880,1,2,30,4935.0
881,2,1,49,0.0
882,1,2,38,224020.0
883,3,2,57,47917.0
884,3,2,55,51737.0
885,2,2,23,49605.0
886,1,2,30,1544.0
887,2,1,30,2488.0
888,2,2,24,24401.0
889,2,2,28,149445.0
890,3,1,34,772.0
891,2,2,37,13611.0
892,2,1,32,28408.0
893,1,2,27,137574.0
894,2,1,37,238.0
895,1,2,31,100.0
896,1,3,55,92610.0
897,1,2,28,131864.0
898,3,3,51,11315.0
899,1,1,36,3877.0
900,1,2,30,0.0
901,1,1,36,4036.0
902,2,2,25,168286.0
903,3,1,50,154970.0
904,2,2,40,57364.0
905,2,2,27,27772.0
906,1,2,30,4187.0
907,2,2,26,22431.0
908,1,2,27,7010.0
909,1,2,27,79837.0
910,1,2,25,86014.0
911,1,2,32,386405.0
912,3,1,46,68075.0
913,3,1,45,17187.0
914,3,1,30,19882.0
915,1,1,39,0.0
916,1,1,48,54969.0
917,1,2,32,0.0
918,1,2,46,471814.0
919,1,2,23,22109.0
920,1,2,33,0.0
921,1,2,24,27245.0
922,1,1,40,8481.0
923,1,2,24,1371.0
924,2,2,24,27391.0
925,1,2,27,11392.0
926,2,1,46,5902.0
927,2,2,22,50342.0
928,1,2,36,10737.0
929,1,1,34,1242.0
930,2,2,24,68411.0
931,1,1,60,9955.0
932,2,2,29,1989.0
933,2,2,32,7851.0
934,2,1,36,16906.0
935,2,2,30,21062.0
936,2,2,29,47585.0
937,1,2,34,11874.0
938,2,1,32,15548.0
939,2,1,32,5150.0
940,1,2,25,42543.0
941,2,1,44,1261.0
942,1,1,37,4785.0
943,2,2,24,1200.0
944,2,2,23,3779.0
945,1,2,29,15854.0
946,2,1,37,219099.0
947,2,1,59,47069.0
948,2,2,33,190258.0
949,3,1,51,2000.0
950,1,1,27,12897.0
951,2,1,32,81074.0
952,3,2,42,10889.0
953,2,2,39,3135.0
954,2,1,46,2410.0
955,1,1,41,117126.0
956,2,2,30,21780.0
957,1,1,34,6206.0
958,1,2,35,4439.0
959,1,2,41,1338.0
960,1,2,43,8201.0
961,2,2,47,396.0
962,2,2,31,33781.0
963,2,2,30,27826.0
964,2,2,24,14937.0
965,1,1,36,294827.0
966,1,2,28,0.0
967,1,1,36,996.0
968,2,1,27,42784.0
969,2,1,32,74189.0
970,1,1,42,11973.0
971,2,1,33,133461.0
972,3,1,39,10159.0
973,1,3,30,50.0
974,2,1,30,134203.0
975,2,2,22,49609.0
976,2,2,25,6174.0
977,1,2,28,666.0
978,2,2,26,5591.0
979,3,1,54,148747.0
980,1,2,24,63903.0
981,2,2,29,34423.0
982,1,2,36,45106.0
983,3,1,49,44801.0
984,1,2,23,49860.0
985,3,2,43,1018.0
986,2,1,33,134736.0
987,3,1,53,0.0
988,2,2,25,286732.0
989,3,1,54,62847.0
990,3,1,39,58300.0
991,1,1,44,1215.0
992,2,2,27,57376.0
993,1,2,25,279846.0
994,1,2,29,0.0
995,1,2,39,-200.0
996,1,1,45,39716.0
997,1,1,38,0.0
998,2,2,23,780.0
999,2,2,25,113348.0
1000,2,1,29,94453.0
1001,2,1,28,81865.0
1002,2,1,40,4989.0
1003,1,2,36,0.0
1004,3,2,30,456.0
1005,1,2,29,2937.0
1006,2,2,36,1371.0
1007,2,1,37,166246.0
1008,2,2,34,19785.0
1009,1,2,27,80000.0
1010,1,2,31,164736.0
1011,1,1,31,2744.0
1012,1,2,38,29747.0
1013,2,2,36,79148.0
1014,1,1,46,92961.0
1015,1,1,36,129689.0
1016,1,2,26,2198.0
1017,3,2,57,131795.0
1018,3,1,40,-55.0
1019,3,0,45,4148.0
1020,1,3,57,69398.0
1021,2,2,25,142827.0
1022,3,1,37,138398.0
1023,1,1,35,9918.0
1024,2,2,33,4040.0
1025,1,1,38,153099.0
1026,2,2,31,62198.0
1027,1,2,41,11343.0
1028,1,2,33,-5.0
1029,2,1,67,30374.0
1030,1,1,40,1107.0
1031,1,2,33,764.0
1032,1,2,31,652.0
1033,2,2,35,64195.0
1034,2,3,39,-1540.0
1035,2,2,27,43356.0
1036,1,2,23,11109.0
1037,3,1,54,149698.0
1038,3,2,23,43979.0
1039,3,2,24,2562.0
1040,2,2,26,70.0
1041,2,2,52,1292.0
1042,2,1,42,55349.0
1043,1,2,36,90922.0
1044,1,2,22,16233.0
1045,1,2,23,26847.0
1046,3,1,30,162105.0
1047,3,2,24,42897.0
1048,1,1,42,3000.0
1049,2,1,49,34704.0
1050,2,2,31,279.0
1051,3,2,33,10000.0
1052,1,1,42,28033.0
1053,3,2,41,70476.0
1054,2,1,53,1350.0
1055,2,2,23,18852.0
1056,1,2,33,115056.0
1057,2,1,29,15890.0
1058,3,1,67,20255.0
1059,3,1,33,20500.0
1060,3,1,34,9928.0
1061,2,1,49,10750.0
1062,2,1,56,284204.0
1063,1,1,42,120151.0
1064,3,1,55,29278.0
1065,2,1,25,21586.0
1066,3,2,30,87579.0
1067,2,2,43,291.0
1068,1,2,40,2159.0
1069,1,2,35,32691.0
1070,1,1,61,1477.0
1071,2,1,44,390.0
1072,1,2,33,148341.0
1073,6,1,66,47615.0
1074,2,2,40,-19.0
1075,3,2,47,94925.0
1076,1,2,27,204198.0
1077,1,2,35,172041.0
